animeTitle	Centaur no Nayami
animeType	TV
animeNumEpisode	12
releaseDate	2017-07-09 00:00:00
endDate	2017-09-24 00:00:00
animeNumMembers	79783
animeScore	6.46
animeUsers	31172
animeRank	6337
animePopularity	1900
animeDescription	"Himeno is a sweet, shy little centaur girl. In her world, everyone seems to be a supernatural creature, and all her classmates have some kind of horns, wings, tails, halos, or other visible supernatural body part. Despite their supernatural elements, Himeno and her best friends, Nozomi and Kyouko, have a fun and mostly normal daily school life!

(Source: MangaHelpers)"
animeRelated	['Centaur no Nayami']
animeCharacters	['Mitama, Manami', 'Kimihara, Himeno', 'Gokuraku, Nozomi', 'Naraku, Kyouko', 'Quetzalcoatl, Sassassul', 'Mitama, Suetsumi', 'Shino', 'Akechi, Mitsuyo', 'Riri-chan', 'Eri']
animeVoices	['Kamakura, Yuna', 'Fukagawa, Seria', 'Kuwahara, Yuuki', 'Shiraishi, Haruka', 'Ayase, Yuu', 'Kanna, Mei', 'Kiryuu, Akane', 'Miyajima, Emi', 'Kubo, Yurika', 'Tamura, Yukari']
animeStaff	[['Oizaki, Fumitoshi', 'Director'], ['Konno, Naoyuki', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Majima, Takahiro', 'Episode Director']]
