animeTitle	b'Maroko'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.28
animeUsers	225
animeRank	
animePopularity	
animeDescription	b'Summary for the Gosenzosama Banbanzai! OVA.'
animeRelated	[b'Gosenzo-sama Banbanzai!']
animeCharacters	[b'Yomota, Maroko']
animeVoices	[b'\nKatsuki, Masako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOshii, Mamoru\n\nDirector, Original Creator\n\n', b'\nChiba, Shigeru\n\nSound Director\n\n', b'\nKawai, Kenji\n\nTheme Song Arrangement, Theme Song Composition, Music\n\n', b'\nYaginuma, Kazuyoshi\n\nKey Animation\n\n']
