animeTitle	Neko Machi
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	164
animeRank	
animePopularity	10552
animeDescription	"A fantasy world with only cats as far as the eye can see. The awe and fear a person can feel in a world that doesn’t know mankind, the world of Cat City invented by HAGIWARA Sakutaro, is depicted with sense by the art of KANAIDA Etsuko. The commercial editor URAHAMA Shojiro edits the story narrated by the musician and poet MACHIDA Kou with a taste of fantastic for this new Ga-nime. 

(Source: Toei-anim.co.jp)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
