animeTitle	Yuu☆Yuu☆Hakusho: Mu Mu Hakusho - Nightmare Hakusho
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	3223
animeRank	
animePopularity	5718
animeDescription	A four part OVA series including Yusuke's weird dreams.
animeRelated	['Yuu☆Yuu☆Hakusho']
animeCharacters	['Urameshi, Yuusuke', 'Hiei', 'Kurama', 'Kuwabara, Kazuma', 'Botan', 'Yukimura, Keiko', 'Kuwabara, Shizuru']
animeVoices	['Sasaki, Nozomu', 'Hiyama, Nobuyuki', 'Ogata, Megumi', 'Chiba, Shigeru', 'Miyuki, Sanae', 'Amano, Yuri', 'Orikasa, Ai']
animeStaff	[['Togashi, Yoshihiro', 'Original Creator'], ['Cook, Justin', 'ADR Director'], ['Fukunaga, Gen', 'Executive Producer']]
