animeTitle	Mugen Kouro
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.12
animeUsers	453
animeRank	
animePopularity	10736
animeDescription	"The software developers Platinum Games and Sega have scheduled their Mugen Kōro - Infinite Space science-fiction roleplaying game for the Nintendo DS portable console next spring and announced the October launch of animated short films for the project. The game centers around Yūrī, a young man who journeys across lawless space and becomes a spaceship captain. The animation studios GONZO and Production I.G are producing short movies to promote the game and develop its world and storyline. The first of the movies will premiere at the Tokyo Game Show on October 9 and then will run on the game's official website on October 17.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
