animeTitle	Sore Ike! Anpanman: Minna de Teasobi - Anpanman to Itazura Obake
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15128
animeDescription	This short movie that was screened simultaneously with a Anpanman movie - Sore Ike! Anpanman: Tobase! Kibou no Handkerchief.
animeRelated	['Sore Ike! Anpanman', 'Sore Ike! Anpanman: Tobase! Kibou no Handkerchief']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Currypanman', 'Dokin-chan', 'Oji-san, Jam', 'Dororon Obake', 'Zuroron Obake', 'Deroron Obake', 'Batako-san']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Yanagisawa, Michiyo', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Anzai, Chika', 'Yasuno, Kiyono', 'Miyagawa, Miho', 'Sakuma, Rei']
animeStaff	[['Suzuki, Miho', 'Animation Director']]
