animeTitle	Fushigi no Kuni no Alice
animeType	TV
animeNumEpisode	24
releaseDate	1983-10-10 00:00:00
endDate	1984-03-26 00:00:00
animeNumMembers	
animeScore	6.44
animeUsers	1094
animeRank	
animePopularity	8576
animeDescription	"A retelling of Lewis Carroll's classic tale of the young girl Alice, who follows a white rabbit into a hole, only to find herself in Wonderland, where she meets many interesting characters, both the mysterious Cheshire Cat and the terrible Queen of Hearts.

(Source: ANN)"
animeRelated	['Fushigi no Kuni no Alice Specials']
animeCharacters	"['Benny Bunny', 'Alice', 'Queen of Hearts', 'Mock Turtle', 'Celia', 'Caterpillar', ""Duchess's Maid"", 'Humpty Dumpty', 'Dormouse', 'Eaglet']"
animeVoices	['Nozawa, Masako']
animeStaff	"[['Koshi, Shigeo', 'Director, Series Production Director, Production Manager'], [""D'Avena, Cristina"", 'Theme Song Performance'], ['Carroll, Lewis', 'Original Creator'], ['Mori, Yasuji', 'Layout']]"
