animeTitle	Re:I Am
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.31
animeUsers	222
animeRank	
animePopularity	13299
animeDescription	Music video for the title track RE:I AM by Japanese singer Aimer that was on her 5th single. It was included on DVD with the first limited edition release of the CD. The video was directed by Tsuyoshi Araki.
animeRelated	['Mobile Suit Gundam Unicorn', 'Mobile Suit Gundam Unicorn RE:0096', 'Kyou kara Omoide']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
