animeTitle	Phantom of the Kill: Zero kara no Hangyaku
animeType	Movie
animeNumEpisode	1
releaseDate	2016-04-07 00:00:00
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	2887
animeRank	
animePopularity	5376
animeDescription	"Game producer Jun Imaizumi announced six new projects related to the smartphone game ""Phantom of the Kill"" during a Niconico live broadcast celebrating the game's one-year anniversary on Friday. One of the new projects is a 15-minute anime concept film.

Naoyoshi Shiotani (Psycho-Pass, Blood-C: The Last Dark) will direct the concept film at Production I.G 

Fuji & Gumi Games' strategy drama RPG follows mysterious girls who carry the names of legendary weapons (such as ""Masamune"") as they search for their lost memories. The game allows players to collect characters and weapons, and enter dungeons to engage in turn-based tactical battles.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Amane', 'Zero', 'Nurse', 'Valyn', 'Researcher', 'Consul', 'Tyrhung']
animeVoices	['Yukana', 'Fujiwara, Tatsuya', 'Inoue, Marina', 'Asumi, Kana', 'Hanazawa, Kana', 'Nishimura, Tomomichi', 'Sawaki, Ikuya', 'Amamiya, Sora', 'Hirota, Kousei', 'Sasaki, Mutsumi']
animeStaff	[['Shiotani, Naoyoshi', 'Director, Script, Storyboard'], ['Aoki, Yasuhiro', 'Storyboard, Character Design, Key Animation, Assistant Animation Director'], ['Dempagumi.inc', 'Theme Song Performance'], ['Nishio, Tetsuya', 'Key Animation']]
