animeTitle	Hidamari Sketch x 365 Specials
animeType	Special
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	7.73
animeUsers	7974
animeRank	
animePopularity	4455
animeDescription	Special episodes of Hidamari Sketch x 365.
animeRelated	['Hidamari Sketch', 'Hidamari Sketch x 365', 'Hidamari Sketch x ☆☆☆']
animeCharacters	['Miyako', 'Yuno', 'Sae', 'Hiro', 'Yoshinoya', 'Natsume', 'Ume', 'The Principal', 'Oyasan', 'Kuwahara']
animeVoices	['Mizuhashi, Kaori', 'Asumi, Kana', 'Shintani, Ryouko', 'Gotou, Yuuko', 'Aoki, Ume', 'Sawashiro, Miyuki']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Ooshima, Miku', 'Assistant Producer'], ['Shinbou, Akiyuki', 'Director'], ['Oishi, Tatsuya', 'Director']]
