animeTitle	Uchuu Senshi Baldios (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1981-12-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	465
animeRank	
animePopularity	10656
animeDescription	This film supplied the ending to the cancelled Space Warrior Baldios television series.
animeRelated	['Uchuu Senshi Baldios']
animeCharacters	['Regan, Marine', 'Aphrodia, Roza', 'Hoshino, Jemmy', 'Oliver, Jack', 'Hokuto, Raita', 'Torinomias', 'Quinstein, Ella']
animeVoices	[]
animeStaff	[['Shiba, Shigeharu', 'Sound Director'], ['TONY', 'Theme Song Performance'], ['Haneda, Kentarou', 'Music'], ['Kamegaki, Hajime', 'Mechanical Design']]
