animeTitle	Blossom
animeType	Movie
animeNumEpisode	1
releaseDate	2012-03-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	2678
animeRank	
animePopularity	7247
animeDescription	"Blossom is a short work of animation set to music. It is dedicated to memory of Japan's 3/11 Tohoku earthquake and tsunami disaster that ""reminds us not to forget those who were directly affected."" 

(Source: Crunchyroll News) "
animeRelated	['By Your Side', 'Psychedelic Afternoon']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
