animeTitle	Ishuzoku Reviewers
animeType	TV
animeNumEpisode	12
releaseDate	2020-01-11 00:00:00
endDate	2020-03-28 00:00:00
animeNumMembers	
animeScore	7.5
animeUsers	200957
animeRank	
animePopularity	437
animeDescription	"Countless diverse races, from perky fairies to oozing slimes, inhabit the world. Naturally, such a melting pot of creatures has a broad and alluring variety of brothels. With so many options to choose from, it is hard to decide with which succu-girl to have a meaningful, interpersonal experience.

Fortunately, a tight group of brave warriors has come together to enlighten the public. These perverted adventurers take it upon themselves to assess the appeal of all types of succu-girls through hands-on research. Whether it be the scorchingly hot salamanders or the udderly hu-moo-ngous cow-girls, the Yoruno Gloss reviewers leave no species behind.

Directed by the mastermind behind Miru Tights, Ishuzoku Reviewers seeks to answer one of the most pressing questions there is: which species is the sexiest?

[Written by MAL Rewrite]"
animeRelated	['Ishuzoku Reviewers']
animeCharacters	['Crimvael', 'Stunk', 'Zel', 'Meidri', 'Aloe', 'Kanchal', 'Death Abyss', 'Elma', 'Okpa', 'Ginny']
animeVoices	['Tomita, Miyu', 'Majima, Junji', 'Kobayashi, Yuusuke', 'Ichimichi, Mao', 'Hikasa, Youko', 'Yuasa, Kaede', 'Igarashi, Hiromi', 'Koyama, Momoyo', 'Hino, Mari', 'Nukui, Yuka']
animeStaff	[['Ogawa, Yuuki', 'Director, Episode Director'], ['Hirasawa, Hisayoshi', 'Sound Director'], ['Tatsuwa, Naoyuki', 'Episode Director'], ['Majima, Takahiro', 'Episode Director, Assistant Director']]
