animeTitle	Shin Ruri-iro no Yuki
animeType	OVA
animeNumEpisode	4
releaseDate	2000-12-22 00:00:00
endDate	2001-11-30 00:00:00
animeNumMembers	
animeScore	5.52
animeUsers	210
animeRank	
animePopularity	11466
animeDescription	Makabe Hiroshi, who liked science and invention, was supposed to move to the apartment which was owned by the parents of his childhood friend, Yoko. There was a rumor that a ghost appeared in the room, but he decided to move because of very inexpensive rent. After his move was finished and when he was preparing for the party with Kotobuki who was Yoko’s elder brother, the parts of the machine scattered around on the floor short-circuited and exploded. The explosion made a hole on the floor, and they found a strange jar in the hole. A snow fairly with blonde hair came out from the jar. Her name was Ruri. In this way, the cohabitation of Hiroshi and a snow fairly, Ruri, began suddenly. (anidb) 
animeRelated	['Shin Ruri-iro no Yuki: Furimukeba Tonari ni']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
