animeTitle	Gin no Saji 2nd Season
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	8.28
animeUsers	79630
animeRank	
animePopularity	1321
animeDescription	"As the new semester begins at Ooezo Agricultural High School, Hachiken is now used to the tough lifestyle of a rural, agricultural high school. While Hachiken still wonders what he will do in the future, he continues to discover both the harsh and the beautiful realities of the countryside.

(Source: ANN)"
animeRelated	['Gin no Saji']
animeCharacters	['Hachiken, Yuugo', 'Mikage, Aki', 'Komaba, Ichirou', 'Inada, Tamako', 'Yoshino, Mayumi', 'Principal', 'Nakajima, Yoshiyuki', 'Fuji, Ichiko', 'Tokiwa, Keiji', 'Hachiken, Shingo']
animeVoices	['Kimura, Ryouhei', 'Miyake, Marie', 'Sakurai, Tooru', 'Takagaki, Ayahi', 'Izawa, Shiori', 'Mitsuya, Yuuji', 'Masutani, Yasunori', 'Yuuya, Atsuko', 'Shouji, Masayuki', 'Konishi, Katsuyuki']
animeStaff	[['Deai, Kotomi', 'Director'], ['Itou, Tomohiko', 'Sound Director'], ['Kishimoto, Taku', 'Script, Series Composition'], ['Goose House', 'Theme Song Composition, Theme Song Lyrics, Theme Song Performance']]
