animeTitle	Sore Ike! Anpanman: Anpanman to Okashi na Nakama
animeType	Movie
animeNumEpisode	1
releaseDate	1998-07-25 00:00:00
endDate	
animeNumMembers	245
animeScore	
animeUsers	
animeRank	13458
animePopularity	15336
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Sore Ike! Anpanman']
animeCharacters	['Anpanman', 'Baikinman', 'Cheese', 'Dokin-chan', 'Oji-san, Jam', 'Creampanda', 'Batako-san', 'Melonpanna', 'Komusubiman', 'Pudding-chan']
animeVoices	['Toda, Keiko', 'Nakao, Ryusei', 'Yamadera, Kouichi', 'Tsuru, Hiromi', 'Masuoka, Hiroshi', 'Nagasawa, Miki', 'Sakuma, Rei', 'Kanai, Mika', 'Hayashibara, Megumi', 'Kishiro, Sakurako']
animeStaff	[['Yano, Hiroyuki', 'Director'], ['Yanase, Takashi', 'Original Creator']]
