animeTitle	Hua Jianghu: Xia Lan
animeType	ONA
animeNumEpisode	40
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15353
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Hua Jianghu: Ling Zhu', 'Hua Jiang Hu: Bu Liang Ren', 'Hua Jianghu: Bei Mo Ting', 'Hua Jianghu: Huan Shi Men Sheng', 'Xia Lan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
