animeTitle	Bunbuku Chagama
animeType	Movie
animeNumEpisode	1
releaseDate	1928-07-01 00:00:00
endDate	
animeNumMembers	347
animeScore	
animeUsers	
animeRank	15082
animePopularity	14091
animeDescription	"A short film about a man who rescues a tanuki. When the tanuki transforms himself into a teapot, he is given to a temple as a gift. Once inside the temple, the tanuki reverts to his true form and causes havoc.

(Source: AniDB)"
animeRelated	['Otogi Banashi: Bunbuku Chagama', 'Bunbuku Chagama (1958)', 'Kamishibai Itazura Tanuki no Maki']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
