animeTitle	Ichigo Mashimaro
animeType	TV
animeNumEpisode	12
releaseDate	2005-07-15 00:00:00
endDate	2005-10-14 00:00:00
animeNumMembers	
animeScore	7.65
animeUsers	29305
animeRank	
animePopularity	1866
animeDescription	"""Cute girls doing cute things in cute ways.""

Everyday things make up the fabric of life—whether it's making friends, going to school, trying to make money, or celebrating a holiday. Ichigo Mashimaro is a heartwarming series that follows the daily lives of Itou Chika, her sister Nobue, and her friends Miu, Matsuri, and Ana.

[Written by MAL Rewrite]"
animeRelated	['Ichigo Mashimaro', 'Ichigo Mashimaro OVA', 'Ichigo Mashimaro Episode 0']
animeCharacters	['Matsuoka, Miu', 'Itou, Nobue', 'Itou, Chika', 'Sakuragi, Matsuri', 'Coppola, Ana', 'Sasazuka', '5-2 no Tannin']
animeVoices	['Orikasa, Fumiko', 'Nabatame, Hitomi', 'Chiba, Saeko', 'Kawasumi, Ayako', 'Noto, Mamiko', 'Minagawa, Junko', 'Kondou, Takayuki']
animeStaff	[['Satou, Takuya', 'Director, Script, Storyboard, Screenplay, Series Composition'], ['Aketagawa, Jin', 'Sound Director'], ['Kanbe, Mamoru', 'Episode Director, Storyboard'], ['Oota, Masahiko', 'Episode Director, Key Animation']]
