animeTitle	b'Oraa Guzura Dado'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'A comedy about a kind but slow-witted dragon who appears from a nearby volcanic eruption. People find Guzura quite charming and interesting as he can consume metal and change it into useful devices.\n\n(Source: AniDB)'
animeRelated	[b'Oraa Guzura Dado (1987)', b'Pandora to Akubi']
animeCharacters	[b'Guzura', b'Bonta', b'Narrator']
animeVoices	[b'\nOohira, Tooru\nJapanese\n', b'\nAzuma, Mie\nJapanese\n', b'\nFutamata, Issei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasagawa, Hiroshi\n\nDirector, Episode Director, Original Creator\n\n', b'\nKinoshita, Renzo\n\nEpisode Director\n\n', b'\nToriumi, Jinzou\n\nScript, Planning\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n']
