animeTitle	Seton Doubutsuki: Risu no Banner
animeType	TV
animeNumEpisode	26
releaseDate	1979-04-07 00:00:00
endDate	1979-09-29 00:00:00
animeNumMembers	
animeScore	6.53
animeUsers	502
animeRank	
animePopularity	10411
animeDescription	"Soon after birth a young squirrel comesc to a farm, and gets caught by a human. This human then tries to find him to their pet cat. However, the cat feels sorry for the squirrel and adopts him as their child and names the squirrel Banner. Banner and the cat live happily in the farm, but their happy lives don't last long. A fire destoys the farm, and Banner gets separated from his mother the cat. 

(Source: ANN)"
animeRelated	['Seton Doubutsuki']
animeCharacters	['Banner', 'Haha Neko', 'Gocha', 'Akacho', 'Kitsutsuki', 'Araiguma', 'Non', 'Mimizuku', 'Chourou', 'Lolly Oba-san']
animeVoices	['Tsukase, Noriko', 'Tani, Ikuko', 'Chiba, Shigeru', 'Aono, Takeshi', 'Hirai, Michiko', 'Mizutori, Tetsuo', 'Otsuka, Chikao', 'Nagai, Ichiro', 'Maruyama, Hiroko']
animeStaff	[['Kuroda, Yoshio', 'Director'], ['Okuda, Seiji', 'Storyboard'], ['Asakura, Rie', 'Theme Song Performance'], ['Komori, Akihiro', 'Theme Song Composition, Theme Song Arrangement, Music']]
