animeTitle	Hitsugi no Chaika OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2015-03-10 00:00:00
endDate	
animeNumMembers	37933
animeScore	7.01
animeUsers	18347
animeRank	3784
animePopularity	2904
animeDescription	Unaired anime-original OVA bundled with 12th volume of the Hitsugi no Chaika novel.
animeRelated	['Hitsugi no Chaika', 'Hitsugi no Chaika: Avenging Battle']
animeCharacters	['Trabant, Chaika', 'Acura, Akari', 'Acura, Tooru', 'Fredrica', 'Bohdan, Chaika', 'Holopainen, Viivi', 'Gillette, Albéric', 'Stora, Leonardo', 'Callaway, Matthäus', 'Brusasco, Zita']
animeVoices	['Anzai, Chika', 'Hara, Yuuko', 'Majima, Junji', 'Saitou, Chiwa', 'Zougou, Saeko', 'Nomizu, Iori', 'Hosoya, Yoshimasa', 'Yamamoto, Kazutomi', 'Morishima, Shuuta', 'Kouda, Yumeha']
animeStaff	[['Masui, Souichi', 'Director'], ['Anzai, Chika', 'Theme Song Performance'], ['Nomizu, Iori', 'Theme Song Performance'], ['Zougou, Saeko', 'Theme Song Performance']]
