animeTitle	b'Zashiki Warashi no Tatami-chan'
animeType	b'ONA'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.22
animeUsers	1739
animeRank	
animePopularity	
animeDescription	"b'The ""pleasant horror gag comedy"" centers around the life of Tatami-chan, a sardonic ghost from Iwate Prefecture who is now living in Tokyo among other spirits, supernatural entities, and humans. In addition to dealing with otherworldly matters, the unemployed Tatami-chan also has to deal with job-hunting as well as paying for gas, water, and electricity. \n\n(Source: ANN)'"
animeRelated	[]
animeCharacters	[b'Tatami-chan']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAbe, Shuuhei\n\nSound Director\n\n', b'\nORESAMA\n\nTheme Song Performance\n\n']
