animeTitle	b'Yuusha Exkaiser'
animeType	b'TV'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	428
animeRank	
animePopularity	
animeDescription	b'When aliens plan to invade earth, the young Kouta along with a giant robot from outspace named Exkaiser must team up to save the world and his friends.'
animeRelated	[b'Yuusha-Ou GaoGaiGar', b'Densetsu no Yuusha Da Garn', b'Yuusha Tokkyuu Might Gaine', b'Yuusha Shirei Dagwon', b'Taiyou no Yuusha Fighbird', b'Yuusha Keisatsu J-Decker', b'Ougon Yuusha Goldran']
animeCharacters	[b'Exkaiser', b'Hoshikawa, Kouta', b'Green Raker', b'Hoshikawa, Fuuko', b'Putera Gaist', b'Kaneari, Takumi', b'Sky Max', b'Thunder Gaist', b'Tsukiyama, Kotomi', b'Tokuda, Osamu']
animeVoices	[b'\nHayami, Show\nJapanese\n', b'\nWatanabe, Kumiko\nJapanese\n', b'\nKusao, Takeshi\nJapanese\n', b'\nKoujiro, Chie\nJapanese\n', b'\nKosugi, Juurouta\nJapanese\n', b'\nMorita, Kiyu\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n', b'\nMakishima, Naoki\nJapanese\n', b'\nYokoyama, Chisa\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYatabe, Katsuyoshi\n\nDirector\n\n', b'\nFukuda, Mitsuo\n\nDirector, Episode Director, Storyboard\n\n', b'\nKawase, Toshifumi\n\nEpisode Director, Storyboard\n\n', b'\nSonoda, Hideki\n\nScript\n\n']
