animeTitle	15 Bishoujo Hyouryuuki
animeType	OVA
animeNumEpisode	3
releaseDate	2009-08-03 00:00:00
endDate	2011-05-02 00:00:00
animeNumMembers	22262
animeScore	6.8
animeUsers	8994
animeRank	
animePopularity	3811
animeDescription	Centers on Kazuma and 15 beautiful girls who are stranded on a deserted Pacific island by a tumultuous storm.
animeRelated	['15 Bishoujo Hyouryuuki']
animeCharacters	['Yotsuya, Kotoko', 'Satake, Kageko', 'Asou, Saori', 'Espresso, Sabatini', 'Nanashi', 'Sanada, Ema', 'Shiraishi, Kazuma', 'Li, Meng Meng', 'QuIn', 'Takasaki, Nozomi']
animeVoices	['Gotou, Mai', 'Aoki, Sayaka', 'Sakurai, Harumi', 'Tomonaga, Akane', 'Hitomi', 'Hatamiya, Kanoko', 'Houdentei, Burisuke', 'Hyo-sei', 'Kobayashi, Maki', 'Tanaka, Ryouko']
animeStaff	[['Raika, Ken', 'Director'], ['Sakakibara, Yui', 'Theme Song Performance'], ['Takahiro', 'Character Design'], ['Suzuki, Takato', '2nd Key Animation']]
