animeTitle	b'Youkai Ningen Bem'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	336
animeRank	
animePopularity	
animeDescription	b'Three monsters, Bem, who looks like a gangster, Bero, who looks like a boy, and Bera, a witch, act as agents of justice, hoping that they will be allowed to become human. Several episodes involve them protecting a young boy. The style of animation is fairly distinctive, and the storylines not without interest. \n\n(Source: AniDB) '
animeRelated	[b'Youkai Ningen Bem (2006)', b'Oretacha Youkai Ningen', b'Youkai Ningen Bem: Part II', b'Bem', b'Bem Movie: Become Human']
animeCharacters	[b'Belo', b'Bela', b'Bem', b'Carl', b'Narrator']
animeVoices	[b'\nShimizu, Mari\nJapanese\n', b'\nMori, Hiroko\nJapanese\n', b'\nKobayashi, Kiyoshi\nJapanese\n', b'\nAikawa, Kinya\nJapanese\n', b'\nFujimoto, Yuzuru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWakabayashi, Tadao\n\nEpisode Director, Character Design\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n', b'\nTanaka, Masafumi\n\nTheme Song Composition, Theme Song Arrangement\n\n', b'\nHoney Knights\n\nTheme Song Performance\n\n']
