animeTitle	Gamba no Bouken
animeType	TV
animeNumEpisode	26
releaseDate	1975-04-07 00:00:00
endDate	1975-09-29 00:00:00
animeNumMembers	
animeScore	7.08
animeUsers	832
animeRank	
animePopularity	8297
animeDescription	An adventurous wild mouse called Gamba travels with his friends to see the ocean but he finds an injured mouse and hears about the violence of white ferret Noroi. Gamba decides to help the mice suffering under Noroi's tyranny.
animeRelated	['Gamba to Kawauso no Bouken', 'Bouken-tachi Gamba to Nanbiki no Nakama', 'Gamba: Gamba to Nakama-tachi', 'Baby Gamba']
animeCharacters	['Gakusha', 'Bobo', 'Gamba', 'Ikasama', 'Yoisho', 'Shijin', 'Chuuta', 'Noroi', 'Gaido', 'Pyon']
animeVoices	['Tomiyama, Kei', 'Mizuki, Ranko', 'Nozawa, Masako', 'Hori, Junko', 'Utsumi, Kenji', 'Shimada, Akira', 'Kagawa, Kouko', 'Otsuka, Chikao', 'Ibu, Masatou', 'Matsukane, Yoneko']
animeStaff	[['Dezaki, Osamu', 'Director, Episode Director, Storyboard'], ['Takeuchi, Yoshio', 'Episode Director, Script'], ['Takayashiki, Hideo', 'Script'], ['Yamatoya, Atsushi', 'Script']]
