animeTitle	Crusher Joe
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.83
animeUsers	2002
animeRank	
animePopularity	6288
animeDescription	"Crushers: intergalactic Jacks-of-All-Trades who will take on any assignment for the right price. Crusher Joe heads a small team of these outer space troubleshooters that includes the cyborg Talos, the beautiful Alfin, and the obligatory kid sidekick Ricky. A routine assignment escorting a cryogenically frozen heiress to a medical facility goes awry when the girl goes missing and Joe and his team are left holding the bag. It seems space pirates are trying to play the Crushers for patsies, but Joe doesn’t take kindly to the setup and tracks the pirates to their home world. The four heroes not only have to rescue their human cargo but take down the pirates in the process, which involves a heck of a lot of space dogfights, explosions, and good old-fashioned hand-to-hand combat. 

(Source: AniDB)"
animeRelated	['Crusher Joe', 'Dirty Pair', 'Crusher Joe OVA']
animeCharacters	['Joe', 'Talos', 'Alfin', 'Ricky', 'Kei', 'Yuri', 'Kowalski, Colonel', 'Matua']
animeVoices	['Takemura, Hiroshi', 'Kobayashi, Kiyoshi', 'Sasaki, Run', 'Ohara, Noriko', 'Naya, Gorou', 'Mutou, Reiko']
animeStaff	[['Yasuhiko, Yoshikazu', 'Director, Script, Storyboard, Animation Director, Character Design'], ['Chiba, Kouichi', 'Sound Director'], ['Hamatsu, Mamoru', 'Storyboard, Assistant Director'], ['Kawamori, Shouji', 'Mechanical Design']]
