animeTitle	b'Hand Maid May: Akiramemasen'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.73
animeUsers	4309
animeRank	
animePopularity	
animeDescription	b'Special episode.'
animeRelated	[b'Hand Maid May']
animeCharacters	[b'May', b'Saotome, Kazuya', b'Tani, Kasumi']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSargent, Lia\n\nADR Director\n\n', b'\nFujii, Maki\n\nAnimation Director\n\n', b'\nNitta, Yasunari\n\nKey Animation\n\n']
