animeTitle	Majin Bone
animeType	TV
animeNumEpisode	52
releaseDate	2014-04-01 00:00:00
endDate	2015-03-31 00:00:00
animeNumMembers	9036
animeScore	6.65
animeUsers	2246
animeRank	5363
animePopularity	5529
animeDescription	"Anime adaptation of Majin Bone, a digital card game project.

Majin, the creator of the Universe, has been resurrected in the present day. Shougo Ryuujin, an ordinary high school student who transforms into the Bone Fighter Dragonbone with the Bone Card in order to save Earth. Together, with the other White Bone warriors take a stand against the Dark Bone, a foe that has appeared from darkness to devastate Earth. However, ""could the true enemy be ourselves?""

(Source: ANN)"
animeRelated	['Majin Bone']
animeCharacters	['Antonio', 'Ryuujin, Shougo', 'Gilbert', 'Luke', 'Tyrone', 'Shimatani, Saho', 'Liebert ', 'Revolt', 'Freyd', 'Tiger, Victor']
animeVoices	['Yoshino, Hiroyuki', 'KENN', 'Sanpei, Yuuko', 'Tachibana, Shinnosuke', 'Yasumoto, Hiroki', 'Sendai, Eri', 'Orikasa, Fumiko', 'Midorikawa, Hikaru', 'Ishida, Akira']
animeStaff	[['Uda, Kounosuke', 'Director'], ['Kakudou, Hiroyuki', 'Episode Director'], ['Tanaka, Yuuta', 'Episode Director, Storyboard'], ['Tanaka, Tomoya', 'Episode Director, Storyboard']]
