animeTitle	Daisougen to Hakuba
animeType	OVA
animeNumEpisode	1
releaseDate	2000-07-01 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14075
animeDescription	Bataar, a young Mongolian boy, wishes to cure his father's leg that was injured during a war with a neighboring tribe. One day, a white horse suddenly appears before him and Bataar starts a magical journey through time to rewrite history and to prevent the war from ever happening!
animeRelated	[]
animeCharacters	['Bataar']
animeVoices	['Saiga, Mitsuki']
animeStaff	[['Katsumata, Tomoharu', 'Director'], ['Ishizuka, Katsumi', 'Key Animation'], ['Ikeda, Daisaku', 'Original Creator'], ['Sakuma, Yoshiko', 'Color Design']]
