animeTitle	Kono Healer, Mendokusai
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-01-01 00:00:00
endDate	
animeNumMembers	2241
animeScore	
animeUsers	
animeRank	
animePopularity	10044
animeDescription	"A fantasy and adventure comedy starring Karla, a dark elf cleric who invested too much in her insulting skills, and Alvin, a swordsman who has to put up with her antics. 

(Source: Kadokawa, translated)"
animeRelated	['Kono Healer, Mendokusai']
animeCharacters	['Karla', 'Alvin']
animeVoices	['Oonishi, Aguri', 'Satou, Takuya']
animeStaff	[['Nakanishi, Nobuaki', 'Director'], ['Shimo, Fumihiko', 'Script, Series Composition'], ['Tannen ni Hakkou', 'Original Creator'], ['Kikunaga, Chisato', 'Character Design']]
