animeTitle	Princess Minerva
animeType	OVA
animeNumEpisode	1
releaseDate	1995-05-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.51
animeUsers	628
animeRank	
animePopularity	10015
animeDescription	"Princess Minerva enters a tournament that offers the winner a fortune. But when her bodyguard gets kidnapped by an evil sorceress, things really start to heat up.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Princess Minerva', 'Dynastar', 'Blue Morris', 'Pyrocession', 'Whistler 12th', 'Lachloa, Valvis', 'Hagan', 'Yamaha', 'Orche', 'Carey, Orlin']
animeVoices	['Itou, Miki', 'Katsuki, Masako', 'Inoue, Kikuko', 'Nagasawa, Miki', 'Ootsuka, Akio', 'Sakuma, Rei', 'Katou, Seizou', 'Miki, Shinichiro', 'Nagahori, Miho', 'Natsuki, Rio']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Sonoda, Hideki', 'Script'], ['MacAvery, Tristan', 'ADR Director'], ['Kanemura, Katsuyoshi', 'Art Director']]
