animeTitle	Miss Monochrome The Animation
animeType	TV
animeNumEpisode	13
releaseDate	2013-10-02 00:00:00
endDate	2013-12-25 00:00:00
animeNumMembers	45368
animeScore	6.39
animeUsers	19985
animeRank	6715
animePopularity	2635
animeDescription	"""Miss Monochrome"" is an original character design from seiyuu Horie Yui. In March 2012, she first used the ""Miss Monochrome"" character as a 3D virtual singer to sing her songs at her concert ""Horie Yui wo Meguru Bouken III ~Secret Mission Tour~."" Later, the character appeared in a range of merchandise as well as in the social network game ""Girlfriend (Beta).""

According to the setting, Miss Monochrome loves only the monochrome style, dislikes all kinds of color, and always dreams about changing the world into her favorite monochrome color.

(Source: MAL News)"
animeRelated	['Miss Monochrome: Motto Challenge', 'Miss Monochrome-san', 'Miss Monochrome The Animation: Soccer-hen', 'Miss Monochrome The Animation: Manager', 'Miss Monochrome: Watashi dake no Monogatari', 'Miss Monochrome The Animation 2', 'Miss Monochrome: Music Clips']
animeCharacters	['Miss Monochrome', 'Ruu-chan', 'Maneo', 'Wooser', 'Mana', 'Kikuko', 'Akiko', 'Narrator']
animeVoices	['Horie, Yui', 'Fujiwara, Keiji', 'Kanda, Akemi', 'Inoue, Kikuko', 'Suwa, Ayaka']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Yamaura, Takanori', 'Producer'], ['Shiba, Hirokazu', 'Producer'], ['Iwasaki, Yoshiaki', 'Director']]
