animeTitle	b'E no Umakatta Tomodachi'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.57
animeUsers	539
animeRank	
animePopularity	
animeDescription	"b'Music video for the song ""E no Umakatta Tomodachi"" by pinocchioP. Collaboration with Pentel Inc.'"
animeRelated	[]
animeCharacters	[b'Hatsune, Miku']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMorii, Kenshirou\n\nDirector, Key Animation\n\n', b'\nHatsune, Miku\n\nTheme Song Performance\n\n']
