animeTitle	Magical Hat
animeType	TV
animeNumEpisode	33
releaseDate	1989-10-18 00:00:00
endDate	1990-07-06 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13429
animeDescription	"The series stars Hat, the descendant of a hero who fought an evil king and sealed Devildom. Hat falls into Devildom and finds he has to defeat the evil king.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Doguu', 'Kowal', 'Spin', 'Tau-jiisan', 'Kunchan', 'Robog', 'Hat']
animeVoices	['Chafurin', 'Matsui, Naoko', 'Yanami, Jouji', 'Kameyama, Sukekiyo', 'Nishihara, Kumiko', 'Ikura, Kazue']
animeStaff	[['Kimura, Kyotaro', 'Producer'], ['Shigino, Akira', 'Director, Episode Director, Script, Storyboard'], ['Kamimura, Osamu', 'Episode Director, Storyboard'], ['Kagawa, Yutaka', 'Episode Director, Storyboard']]
