animeTitle	Tales of Eternia The Animation
animeType	TV
animeNumEpisode	13
releaseDate	2001-01-08 00:00:00
endDate	2001-03-26 00:00:00
animeNumMembers	
animeScore	6.2
animeUsers	5803
animeRank	
animePopularity	4428
animeDescription	"In order to prevent the catastrophe called the Grand Fall, Rid Hershel and his companions Farah, Keel and Meredy have obtained the three Greater Spirits (""Craymels"" in the game version) of Inferia. En route to Mount Farlos, Rid is kidnapped by the bounty hunter Marone Blucarno, and the party is compelled to head to Belcarnu, an archipelago far from the major cities of Inferia. A series of adventures forces them to remain on the islands, where a more immediate threat to Inferia sleeps.

(Source: ANN)"
animeRelated	['Tales of Eternia', 'Tales of Gekijou']
animeCharacters	['Hershel, Reid', 'Oersted, Farah', 'Bluecarno, Marone', 'Zeibel, Keele', 'Meredy', 'Solgente, Corina', 'Grid', 'Narrator', 'Platia', 'Efreet']
animeVoices	['Ishida, Akira', 'Minaguchi, Yuko', 'Hayashibara, Megumi', 'Hoshi, Souichirou', 'Minami, Omi', 'Horie, Yui', 'Okiayu, Ryoutarou', 'Maruyama, Eiji', 'Kasahara, Rumi', 'Inada, Tetsu']
animeStaff	[['Watanabe, Kazuya', 'Producer'], ['Ueda, Shigeru', 'Director'], ['Kawasaki, Hiroyuki', 'Script'], ['Kimura, Shinichiro', 'Storyboard']]
