animeTitle	b'Watashi no Tenshi'
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	280
animeRank	
animePopularity	
animeDescription	"b""Above all else, Sena Narumi adores her little sister, Mona. However, they both have their own dreams: Sena rises to stardom through modeling, while Mona wants to become a beloved idol. Although they both have the talent to succeed, Mona feels left behind in the wake of her sister's success. Even so, Sena resolves to be the best big sister she can be, all while being the biggest fan of Mona\xe2\x80\x94her angel.\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[b'Narumi, Sena']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nAmamiya, Sora\n\nTheme Song Performance\n\n', b'\nHoneyWorks\n\nTheme Song Lyrics, Theme Song Arrangement, Theme Song Composition\n\n']
