animeTitle	b'Himouto! Umaru-chan OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.25
animeUsers	35972
animeRank	
animePopularity	
animeDescription	"b""Episodes included in the manga's seventh and tenth volumes."""
animeRelated	[b'Himouto! Umaru-chan']
animeCharacters	[b'Doma, Umaru', b'Doma, Taihei', b'Ebina, Nana', b'Motoba, Kirie', b'Tachibana, Sylphinford', b'Takematsu, Yukio']
animeVoices	[b'\nTanaka, Aimi\nJapanese\n', b'\nNojima, Kenji\nJapanese\n', b'\nKageyama, Akari\nJapanese\n', b'\nShiraishi, Haruka\nJapanese\n', b'\nFurukawa, Yurina\nJapanese\n', b'\nMaeda, Hiroki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOota, Masahiko\n\nDirector, Episode Director\n\n', b'\nEbina, Yasunori\n\nSound Director\n\n', b'\nAoshima, Takashi\n\nScript, Series Composition\n\n', b'\nTanaka, Aimi\n\nTheme Song Performance\n\n']
