animeTitle	b'Mouretsu Pirates'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	23264
animeRank	
animePopularity	
animeDescription	"b""The story centers around a spirited high school girl named Marika. She keeps herself busy with the space yacht club and her part-time job at a high-class retro caf\xc3\xa9. One day, two strangers suddenly appear and claim to be subordinates of her dead father. They demand that she assume command of the space pirate ship Bentenmaru. A privateer ship's compact was made during a war of independence a century ago, and according to that compact, the ship must be inherited by the captain's next direct descendant. Marika finds herself embarking on a new life as a space pirate."""
animeRelated	[b'Miniskirt Pirates', b'Mouretsu Pirates: Abyss of Hyperspace']
animeCharacters	[b'Katou, Marika', b'Kurihara, Chiaki', b'Serenity, Gruier', b'Coorie', b'Luca', b'Lambretta, Lynn', b'Grandwood, Misa', b'Katou, Ririka', b'Dolittle, Jenny', b'Schnitzer']
animeVoices	[b'\nKomatsu, Mikako\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nTomatsu, Haruka\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nMizuhara, Kaoru\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nItou, Shizuka\nJapanese\n', b'\nKaida, Yuuko\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nMiyake, Kenta\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSatou, Tatsuo\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nItou, Tatsufumi\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nOsedo, Satoshi\n\nEpisode Director, Storyboard\n\n']
