animeTitle	Detective Conan Movie 24: The Scarlet Bullet
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.66
animeUsers	1454
animeRank	
animePopularity	5185
animeDescription	24th Detective Conan Movie.
animeRelated	['Detective Conan', 'Detective Conan: The Scarlet Alibi']
animeCharacters	['Edogawa, Conan', 'Akai, Shuuichi', 'Mouri, Ran', 'Mouri, Kogorou', 'Sera, Masumi', 'Takagi, Wataru', 'Agasa, Hiroshi', 'Yoshida, Ayumi', 'Suzuki, Sonoko', 'Satou, Miwako']
animeVoices	['Takayama, Minami', 'Ikeda, Shuuichi', 'Yamazaki, Wakana', 'Koyama, Rikiya', 'Hidaka, Noriko', 'Takagi, Wataru', 'Ogata, Kenichi', 'Iwai, Yukiko', 'Matsui, Naoko', 'Yuuya, Atsuko']
animeStaff	[['Shiina, Ringo', 'Theme Song Lyrics, Theme Song Composition'], ['Tokyo Jihen', 'Theme Song Performance'], ['Aoyama, Gosho', 'Original Creator']]
