animeTitle	Biohazard: Damnation
animeType	Movie
animeNumEpisode	1
releaseDate	2012-09-15 00:00:00
endDate	
animeNumMembers	22590
animeScore	7.16
animeUsers	14152
animeRank	3043
animePopularity	3788
animeDescription	"United States Special Agent Leon S. Kennedy sneaks into a small Eastern European country to verify rumors that Bio Organic Weapons (B.O.W.s) are being used in war. Right after his infiltration, the U.S. government orders him to leave immediately. Determined to uncover the truth, Leon ignores the order and enters the battlefield to end the chain of tragedies caused by the B.O.W.s.

(Source: IMDB)"
animeRelated	['Biohazard: Degeneration', 'Biohazard: Vendetta']
animeCharacters	['Kennedy, Leon Scott', 'Kozachenko, Alexander', 'Wong, Ada', 'JD', 'Belikova, Svetlana']
animeVoices	['Hiyama, Nobuyuki', 'Kawasaki, Eriko']
animeStaff	[['Takadera, Takeshi', 'Sound Director'], ['Tsuchiya, Anna', 'Theme Song Performance'], ['Dupac, Benoit', 'ADR Director'], ['Suga, Shoutarou', 'Screenplay']]
