animeTitle	b'Otome Youkai Zakuro'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.45
animeUsers	43854
animeRank	
animePopularity	
animeDescription	b'Second Lieutenant Kei Agemaki, the son of a famous general, has hidden his extreme fear of paranormal beings all his life. However, when he and two others are reassigned to live and work with youkai in the Ministry of Spirit Affairs, he is brought face-to-face with his worst nightmare. Now with the help of the fox spirit Kushimatsu, he and his fellow officers must learn to work alongside youkai maidens\xe2\x80\x94Zakuro, Susukihotaru, Hoozuki, and Bonbori\xe2\x80\x94to solve paranormal cases.\n\nSet in the midst of an alternate version of Japanese Westernization, Otome Youkai Zakuro explores the clashes and unions that can occur when east meets west, local meets foreign, and women meet men. The unusual alliance of the youkai maidens and human officers must learn to work together in a world that is changing around them.\n\n[Written by MAL Rewrite]'
animeRelated	[b'Otome Youkai Zakuro', b'Otome Youkai Zakuro Picture Drama']
animeCharacters	[b'Zakuro', b'Susukihotaru', b'Agemaki, Kei', b'Yoshinokazura, Riken', b'Bonbori', b'Hanakiri, Ganryuu', b'Hoozuki', b'Mamezou', b'Hanadate, Takatoshi', b'Sakura']
animeVoices	[b'\nNakahara, Mai\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nHino, Satoshi\nJapanese\n', b'\nToyosaki, Aki\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nHorie, Yui\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nKondou, Takayuki\nJapanese\n', b'\nIguchi, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMiyake, Masanori\n\nProducer\n\n', b'\nKon, Chiaki\n\nDirector, Episode Director, Storyboard\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nSuzuki, Youhei\n\nEpisode Director, Storyboard\n\n']
