animeTitle	b'Saikai'
animeType	Music
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'There is two versions of this music video.\n\nBoth videos feature the same song, but one is sung by Hatsune Miku on Niconico, and the other is a self-cover from the author himself, Harumaki Gohan on Youtube.\n\nBoth versions focus on separate characters.'
animeRelated	[b'Yakusoku (2019)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
