animeTitle	Non Non Biyori Nonstop
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	8.41
animeUsers	27865
animeRank	
animePopularity	1786
animeDescription	"The carefree journeys of the four girls continue! As their fleeting yet eventful summer becomes a distant memory, the arrival of fall signals a new school year with limitless opportunities. Even as the four girls return to their peaceful routine, the appearance of new faces enlivens the anything but exciting rural life of Asahigaoka.

Non Non Biyori Nonstop leisurely walks back into the lives of Hotaru Ichijou, Komari Koshigaya, Natsumi Koshigaya, and Renge Miyauchi as they fully embrace their rural lifestyles and turn anything they find into nothing but fun!

[Written by MAL Rewrite]"
animeRelated	['Non Non Biyori', 'Non Non Biyori Movie: Vacation', 'Non Non Biyori Nonstop OVA']
animeCharacters	['Miyauchi, Renge', 'Koshigaya, Komari', 'Ichijou, Hotaru', 'Koshigaya, Natsumi', 'Kagayama, Kaede', 'Koshigaya, Suguru', 'Miyauchi, Hikage', 'Miyauchi, Kazuho', 'Fujimiya, Konomi', 'Shinoda, Akane']
animeVoices	['Koiwai, Kotori', 'Asumi, Kana', 'Murakawa, Rie', 'Sakura, Ayane', 'Satou, Rina', 'Fukuen, Misato', 'Nazuka, Kaori', 'Shintani, Ryouko', 'Tanaka, Aimi']
animeStaff	[['Kawatsura, Shinya', 'Director'], ['Sakura, Ayane', 'Theme Song Performance'], ['Asumi, Kana', 'Theme Song Performance'], ['nano.RIPE', 'Theme Song Performance']]
