animeTitle	Koha Ginjiro
animeType	OVA
animeNumEpisode	3
releaseDate	1991-05-22 00:00:00
endDate	1991-11-20 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14349
animeDescription	"After the death of his elder brother, Ginjiro Yamazaki appoints himself his parents' protector. After transferring to a new school, he gets into a lot of fights.

(Source: The Anime Encyclopedia)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
