animeTitle	b'Junjou Romantica'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.57
animeUsers	127727
animeRank	
animePopularity	
animeDescription	"b'Misaki Takahashi is a regular high school student who is preparing for his university entrance exams. In order to reduce the stress of studying, or so he hopes, he accepts the help of his older brother\'s best friend, and famous author, Akihiko Usami. However, Masaki is about to find out that Usami\'s books are of a very naughty genre, and that there may be something naughty waking up inside Masaki as well.\n\nJunjou Romantica also follows the story of two other couples loosely connected to Masaki and Usami\'s ""Romantica.""\n\nEgoist shows the very passionate, but often complicated, relationship between university professor Hiroki Kamijou (whose life has reached an all time low) and paediatrician Nowaki Kusama, who falls for Hiroki at first sight and would do anything to make him happy.\n\nThe third story, ""Terrorist,"" shows just how obsessive love can become when rich eighteen-year-old Shinobu Takatsuki finally discovers something that he cannot have so easily\xe2\x80\x94the literature professor You Miyagi.\n\nThere is passion abound as these three couples try to achieve their goals in life while also falling into temptation and anguish with their partners. '"
animeRelated	[b'Junjou Romantica', b'Junjou Minimum', b'Junjou Romantica 2', b'Junjou Romantica Special', b'Sekaiichi Hatsukoi', b'Sekaiichi Hatsukoi: Propose-hen', b'Junjou Romantica OVA']
animeCharacters	[b'Usami, Akihiko', b'Takahashi, Misaki', b'Kamijou, Hiroki', b'Kusama, Nowaki', b'Takatsuki, Shinobu', b'Miyagi, You', b'Isaka, Ryuuichirou', b'Aikawa, Eri', b'Asahina, Kaoru', b'Takahashi, Takahiro']
animeVoices	[b'\nHanada, Hikaru\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nNamiki, Noriko\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nTaniyama, Kishou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKon, Chiaki\n\nDirector, Episode Director, Storyboard, Key Animation\n\n', b'\nGouda, Hozumi\n\nSound Director\n\n', b'\nYokote, Michiko\n\nScript\n\n', b'\nNakamura, Yoshiko\n\nScript\n\n']
