animeTitle	Yakumotatsu
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	1282
animeRank	
animePopularity	7739
animeDescription	"Fuzuchi Kuraki is a quiet young high school student blessed with immense psychic powers and an ancient sword. He is searching for other magical artifacts with the help of Nanachi Takeo, a college student with latent powers of his own. They delve deep into the dark magic of Izumo, only to discover the secrets buried within the birthplace of all Japanese mythology.

(Source: ANN)"
animeRelated	['Yakumotatsu']
animeCharacters	['Fuzuchi, Kuraki', 'Nanachi, Takeo', 'Nanachi, Mother', 'Toda, Chika', 'Nanachi, Yuka', 'Maid Kayoko', 'Mikachihiko', 'Kitano, Hideto', 'Fuzuchi, Yasuko', 'Manashi']
animeVoices	['Seki, Tomokazu', 'Namikawa, Daisuke', 'Hyoudou, Mako', 'Watanabe, Misa', 'Imai, Yuka', 'Fujiwara, Keiji', 'Sakurai, Tomo']
animeStaff	[['Watanabe, Shigeru', 'Producer'], ['Mochizuki, Tomomi', 'Director, Storyboard'], ['Kikuta, Hiromi', 'Sound Director'], ['Mizoguchi, Hajime', 'Music']]
