animeTitle	Sekai Douwa Anime Zenshuu
animeType	OVA
animeNumEpisode	10
releaseDate	1990-06-10 00:00:00
endDate	
animeNumMembers	426
animeScore	
animeUsers	
animeRank	13129
animePopularity	13376
animeDescription	Each episode tells a different story from Grimm's Fairy Tales. 
animeRelated	[]
animeCharacters	['Duckling, Ugly', 'Jack', 'Puss-In-Boots', 'Moe', 'Manny', 'Mother Pig']
animeVoices	[]
animeStaff	[['Grimm, Jacob and Wilhelm', 'Original Creator']]
