animeTitle	b'Katta-kun Monogatari'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""An anime starring Katta-kun, a real-life pelican who inhabited the Tokiwa Park in Ube.\n\nIn this movie, Katta-kun befriends Shu, a little boy whose parents went off to the Middle East because of their work. When war breaks out, Shu and Katta-kun travel to the Middle East to save Shu's parents and end the war.\n\nDue to it's hilariously ridiculousness this movie achived cult status in Japan.\n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[b'Katta-kun']
animeVoices	[b'\nSatou, Chie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Kenji\n\nDirector, Screenplay\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nIkeda, Shigemi\n\nArt Director\n\n', b'\nWatanabe, Toshiyuki\n\nMusic\n\n']
