animeTitle	Bakuten Shoot Beyblade G Revolution
animeType	TV
animeNumEpisode	52
releaseDate	2003-01-06 00:00:00
endDate	2003-12-29 00:00:00
animeNumMembers	42810
animeScore	6.93
animeUsers	26295
animeRank	4068
animePopularity	2700
animeDescription	"After keeping their BitBeasts out of harm's way, a new world championship tournament is announced, but the defending champions can't all be on the same team. Their friendship will be tested and tried as each Bladebreaker goes on a quest to prove why they are the best Beyblader around. Tyson, Max, Ray, Kai, and newcomer Daichi, must keep up their winning ways...even if they must face each other. But, after the tournament is over, what awaits them is an old foe, Boris, taking over the BBA and transforming it into BEGA, the Beyblade Entertainment Global Association. To save Beybladers of the entire world from BEGA's corruption, the Bladebreakers must reunite once again...

(Source: ANN)"
animeRelated	['Bakuten Shoot Beyblade 2002']
animeCharacters	['Hiwatari, Kai', 'Kon, Rei', 'Kinomiya, Takao', 'Mizuhara, Max', 'Sumeragi, Daichi', 'Ivanov, Yuriy', 'Chou, Mao', 'Masefield, Brooklyn', 'Kuznetsov, Boris', 'Tachibana, Hiromi']
animeVoices	['Takano, Urara', 'Hisakawa, Aya', 'Kumai, Motoko', 'Orikasa, Ai', 'Nagasawa, Nao', 'Morita, Kiyu', 'Kumagaya, Nina', 'Hoshi, Souichirou', 'Mizuta, Wasabi', 'Kikuchi, Shiho']
animeStaff	[['Kawase, Toshifumi', 'Director'], ['Hashimoto, Mitsuo', 'Director'], ['Hayase, Hiroyuki', 'Sound Director'], ['Odaka, Yoshinori', 'Storyboard, Animation Director']]
