animeTitle	Kyonyuu Princess Saimin
animeType	OVA
animeNumEpisode	2
releaseDate	2020-04-03 00:00:00
endDate	2020-05-29 00:00:00
animeNumMembers	5731
animeScore	6.75
animeUsers	2511
animeRank	
animePopularity	6654
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Kyonyuu Princess Saimin']
animeCharacters	['Crusch, Farasha Awar', 'Crusch, Safina Tani', 'Faran']
animeVoices	[]
animeStaff	[]
