animeTitle	b'Marmalade Boy'
animeType	b'TV'
animeNumEpisode	76
releaseDate	
endDate	
animeNumMembers	
animeScore	7.47
animeUsers	17450
animeRank	
animePopularity	
animeDescription	"b'Miki Koishikawa is a high school student who enjoys a very simple life. However, her ordinary life is about to be turned upside down, and she may not be able to handle everything that is coming her way.\n\nAfter a very ""fun"" holiday in Hawaii, her parents have decided to get a divorce. As if this wasn\xe2\x80\x99t enough of a shock for the poor girl, she also discovers that they will soon be re-marrying and swapping partners with another couple who they met on holiday. In order to include Miki in this shocking turn of events, they ask her to give the new couple a chance, and set up a dinner date with everyone. Miki may have tried to be emotionally prepared for her new parents, but what she was not expecting was their handsome son Matsuura Yuu.\n\nMiki develops an instant crush for Yuu. What starts off as a lovely friendship between them soon develops into romantic feelings which they are both finding hard to control. But more trouble is ahead in their relationship, as both Miki and Yuu have admirers of their own who are trying very hard to keep them separated.'"
animeRelated	[b'Marmalade Boy', b'Marmalade Boy Movie']
animeCharacters	[b'Koishikawa, Miki', b'Matsuura, Yuu', b'Akizuki, Meiko', b'Miwa, Satoshi', b'Tsuchiya, Kei', b'Suou, Ginta', b'Suzuki, Arimi', b'Namura, Shinichi', b'Grant, Michael', b'Rokutanda, Tsutomu']
animeVoices	[b'\nKouda, Mariko\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nYamazaki, Wakana\nJapanese\n', b'\nOota, Shinichirou\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nKanemaru, Junichi\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nMidorikawa, Hikaru\nJapanese\n', b'\nTanaka, Kazunari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamayoshi, Yasuo\n\nEpisode Director, Storyboard\n\n', b'\nUmezawa, Atsutoshi\n\nEpisode Director, Storyboard\n\n', b'\nYoshimura, Genki\n\nScript\n\n', b'\nMizushima, Yasuhiro\n\nTheme Song Composition\n\n']
