animeTitle	Toshishun
animeType	Special
animeNumEpisode	1
releaseDate	1981-12-04 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14427
animeDescription	"A traditional Chinese tale entitled Tu Tze-chun that tells the story of a young man who becomes rich when he finds buried treasure only to lose it all leading a life of extravagance. This version is formally an adaptation of Ryuunosuke Akutagawa's telling of the tale titled Toshishun, he is known as the ""father of Japanese short stories""  and Japan's premier literary award, the Akutagawa Prize, is named after him. 

(Source: Google Books)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
