animeTitle	b'Hells'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.89
animeUsers	8847
animeRank	
animePopularity	
animeDescription	b'Amagane Rinne had an accident and died while hurrying to school. She suddenly arrived in an awkward school... in Hell, filled with demons. While she is struggling and wishing to go back to the world whence she came from, she makes friends with her demon schoolmates and develops an uncommon bond.'
animeRelated	[b'Hells Angels']
animeCharacters	[b'Steela', b'Amagane, Rinne', b'Mario', b'Kutou, Ryu', b'Helvis', b'Adam', b'Wolfie', b'Kiki', b'Kami-sama', b'Panda']
animeVoices	[b'\nSawashiro, Miyuki\nJapanese\n', b'\nFukuen, Misato\nJapanese\n', b'\nKiuchi, Hidenobu\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nTachiki, Fumihiko\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nMatsuoka, Yuki\nJapanese\n', b'\nKoshimizu, Ami\nJapanese\n', b'\nCho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamakawa, Yoshiki\n\nDirector, Screenplay\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nMaruyama, Masao\n\nPlanning\n\n', b'\nConnors, Amber Lee\n\nADR Director\n\n']
