animeTitle	Kiko-chan Smile
animeType	TV
animeNumEpisode	51
releaseDate	1996-10-05 00:00:00
endDate	1997-09-27 00:00:00
animeNumMembers	
animeScore	6.39
animeUsers	153
animeRank	
animePopularity	11251
animeDescription	Kiko-chan's Smile is an anime and manga series about a kindergarten student who has many of the features of a child prodigy but at the same time has many bizarre habits and an odd personailty.
animeRelated	[]
animeCharacters	"['Kiko-chan', 'Richard', 'Megumi-sensei', 'Tenshi', ""Kiko's Father""]"
animeVoices	['Yukino, Satsuki']
animeStaff	[['Shibuichi, Setsuko', 'Director'], ['Ishiodori, Hiroshi', 'Episode Director, Storyboard'], ['Ooba, Hideaki', 'Episode Director, Storyboard'], ['Ishiyama, Takaaki', 'Episode Director, Storyboard']]
