animeTitle	b'Ougon Bat'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.42
animeUsers	294
animeRank	
animePopularity	
animeDescription	b'A golden warrior wearing a cape and a scepter, Ougon Bat was a protector spirit  from Atlantis reanimated by a scientist and his friends (specially the sweet Marie) from his tomb covered in hieroglyphics. His entry was heralded by a golden bat and a sinister laugh and he would put good use of his super powers to combat the evil forces of Dr. Zero.'
animeRelated	[b'Ougon Bat: Millennium Version']
animeCharacters	[b'Ougon Bat', b'Lord Nazo', b'Yamatone, Takeru', b'Dareo', b'Queen of Blue Flame Land', b'Mazo', b'Marie', b'Professor Yamatone', b'Narrator']
animeVoices	[b'\nKobayashi, Osamu\nJapanese\n', b'\nShima, Ushio\nJapanese\n', b'\nTakahashi, Kazue\nJapanese\n', b'\nTatekabe, Kazuya\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n', b'\nMatsushima, Minori\nJapanese\n', b'\nMurakoshi, Ichirou\nJapanese\n', b'\nFujimoto, Yuzuru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nWakabayashi, Tadao\n\nEpisode Director\n\n', b'\nColumbia Yurikago Kai\n\nTheme Song Performance\n\n', b'\nTanaka, Masafumi\n\nTheme Song Composition, Theme Song Arrangement\n\n', b'\nNoda, Takuo\n\nKey Animation\n\n']
