animeTitle	Houkago no Shokuinshitsu
animeType	OVA
animeNumEpisode	2
releaseDate	1994-04-01 00:00:00
endDate	1995-01-27 00:00:00
animeNumMembers	6981
animeScore	5.1
animeUsers	3222
animeRank	11297
animePopularity	6139
animeDescription	"Fresh out of college, Kawase Mitsuro is eager to start his new job as a middle school art teacher. Upon his arrival, he quickly blends in with the masses of girls ogling the toned body of senior teacher Kazama Toshiaki. Kazama ignores the schoolgirls. However, Kazama realizes something is different about Kawase and decides to ask the latter out to dinner. Unconvinced his advances are serious, Kawase goes along with Kazama halfheartedly. When Kazama's true feelings are revealed, will Kawase embrace his potential lover or give in to the expectations of society?

[Written by MAL Rewrite]"
animeRelated	['Houkago no Shokuinshitsu']
animeCharacters	['Toshiaki, Kazama', 'Mitsuro, Kawase']
animeVoices	['Yanada, Kiyoyuki', 'Midorikawa, Hikaru']
animeStaff	[['Fukuda, Masaru', 'Producer'], ['Hirose, Kazuyoshi', 'Director, Storyboard, Editing'], ['Kimura, Shinji', 'Art Director'], ['Koide, Mieko', 'Original Creator']]
