animeTitle	b'Aa! Megami-sama!: Sorezore no Tsubasa Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.52
animeUsers	11892
animeRank	
animePopularity	
animeDescription	"b'When Keiichi found his grandpa\'s diary and saw a treasure map inside, Skuld and Urd started to feel a great urge to search it. With the company of his friends, Keiichi arrives to Honda Inn, the place indicated on the map. Once the party is inside, they meet Honda Chieko, who seems to share a certain promise with Keiichi. Apart from all that confusion, it\'s time for Keiichi to have enough courage to say the words ""I love you"" to Belldandy.'"
animeRelated	[b'Aa! Megami-sama!', b'Aa! Megami-sama!: Sorezore no Tsubasa', b'Aa! Megami-sama!: Tatakau Tsubasa']
animeCharacters	[b'Belldandy', b'Urd', b'Morisato, Keiichi', b'Skuld']
animeVoices	[b'\nInoue, Kikuko\nJapanese\n', b'\nTouma, Yumi\nJapanese\n', b'\nKikuchi, Masami\nJapanese\n', b'\nHisakawa, Aya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAoshima, Takashi\n\nScript\n\n', b'\nLedford, John\n\nExecutive Producer\n\n']
