animeTitle	Ikebukuro West Gate Park
animeType	TV
animeNumEpisode	12
releaseDate	2020-10-06 00:00:00
endDate	2020-12-22 00:00:00
animeNumMembers	90128
animeScore	6.85
animeUsers	25421
animeRank	4428
animePopularity	1764
animeDescription	"Ikebukuro is home to many different businesses and gangs. This includes Makoto Majima: the infamous ""troubleshooter"" who mediates between warring factions. Makoto knows all of the ins and outs of the bustling Tokyo district and strives to maintain peace alongside the G-Boys, who assist Makoto in his troubleshooting endeavors. Led by the charismatic and ruthless Takashi Andou, the G-Boys is the most influential gang in all of Ikebukuro. 

However, when the new faction ""Red Angels"" begins to move in on the G-Boys' turf, immediate tensions rise between them. With numerous enemies scattered around and within the G-Boys, navigating through the streets becomes more difficult for Makoto. While continuing to troubleshoot problems, he slowly unravels a plot that may trigger an all-out war and threaten the entirety of Ikebukuro.

[Written by MAL Rewrite]"
animeRelated	['Ikebukuro West Gate Park']
animeCharacters	"['Majima, Makoto', 'Andou, Takashi', 'Ozaki, Kyouichi', 'Shadow', 'Isogai, Tomomi', 'Ikeuchi, Hiroto', 'Zero One', 'Yokoyama, Reiichirou', ""Makoto's Mother"", '140★Ryuusei']"
animeVoices	['Kumagai, Kentarou', 'Uchiyama, Kouki', 'Tsuchida, Reiou', 'Tsuda, Kenjirou', 'Hanae, Natsuki', 'Kimura, Subaru', 'Suwabe, Junichi', 'Sakurai, Takahiro', 'Kaida, Yuuko', 'Saitou, Souma']
animeStaff	[['Koshida, Tomoaki', 'Director'], ['Tsuchiya, Masaki', 'Sound Director'], ['Kawagoe, Kazuki', 'Episode Director'], ['The Pinballs', 'Theme Song Performance']]
