animeTitle	b'Kussetsu'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	377
animeRank	
animePopularity	
animeDescription	b'* Based on a game by Candy House\n\nThe best friend of a high school boy decides to destroy the perfect world around his friend by taking his stepmother, stepsisters, and female friends from him. Deceit, lust, and revenge are preformed by all parties before it all crashes down.\n\n(Source: fakku)'
animeRelated	[]
animeCharacters	[b'Takahashi, Kana', b'Ishikawa, Misato']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMotonaga, Keitarou\n\nDirector\n\n']
