animeTitle	b'Pikaia!'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	6.01
animeUsers	143
animeRank	
animePopularity	
animeDescription	b'The story begins in the future when Earth itself is no longer inhabitable by living creatures. Humans began their interstellar migration with space colonies. Vince and Hana work as researchers in the Cambrian Project. Together with the creature Pikaia, they seek the Lost Code, the key to restoring Earth, and aim to return to Cambrian-era Earth.\n\n(Source: ANN)'
animeRelated	[b'Pikaia!!']
animeCharacters	[b'Pikaia', b'Vince', b'Hana', b'Wendy', b'Professor Parker', b'Maurice', b'Irma', b'Fraser']
animeVoices	[b'\nMizuhashi, Kaori\nJapanese\n', b'\nTaya, Hayato\nJapanese\n', b'\nSuwa, Ayaka\nJapanese\n', b'\nTanaka, Aimi\nJapanese\n', b'\nOokawa, Tooru\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nKinoshita, Sayaka\nJapanese\n', b'\nInada, Tetsu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorishita, Katsuji\n\nProducer\n\n', b'\nTomiyasu, Daiki\n\nDirector\n\n', b'\nWatanabe, Jun\n\nSound Director\n\n', b'\nFujisaku, Junichi\n\nSeries Composition\n\n']
