animeTitle	b'Kurenai Sanshirou'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	421
animeRank	
animePopularity	
animeDescription	b'Young Sanshiro Kurenai is the proud heir of a judo dojo. One day, he finds his beloved father dead and a glass eye not too far from the corpse. Ready to avenge his father and take his honour back, Sanshiro and his friend Ken start searching for the mysterious one-eyed murderer...\n\n(Source: ANN)'
animeRelated	[b'Kurenai Sanshirou']
animeCharacters	[b'Kurenai, Sanshirou', b'Boke', b'Narrator']
animeVoices	[b'\nNishikawa, Ikuo\nJapanese\n', b'\nOotake, Hiroshi\nJapanese\n', b'\nUtsumi, Kenji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tatsuo\n\nProducer, Original Creator\n\n', b'\nKuri, Ippei\n\nDirector\n\n', b'\nToriumi, Hisayuki\n\nEpisode Director\n\n', b'\nToriumi, Jinzou\n\nScript, Planning\n\n']
