animeTitle	Ginga Tetsudou Monogatari: Eien e no Bunkiten
animeType	TV
animeNumEpisode	24
releaseDate	2006-10-05 00:00:00
endDate	2007-03-29 00:00:00
animeNumMembers	
animeScore	6.8
animeUsers	882
animeRank	
animePopularity	7965
animeDescription	Second season.
animeRelated	['Ginga Tetsudou Monogatari', 'Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei']
animeCharacters	['Yuuki, Manabu', 'Bulge, Schawanheld', 'Fort Drake, Louis', 'Young, David', 'J. Speed, Bruce', 'Yuki', 'Greg', 'F. Rainheart, Julia', 'R. Knightguy, Kim', 'Von Meinster, Klaus']
animeVoices	['Yanagi, Naoki', 'Ootsuka, Akio', 'Sanada, Asami', 'Midorikawa, Hikaru', 'Koyasu, Takehito', 'Suzuki, Naoko', 'Ueda, Youji', 'Hyo-sei', 'Kamiya, Hiroshi']
animeStaff	[['Tominaga, Tsuneo', 'Director'], ['Shioya, Yoku', 'Sound Director'], ['Takahashi, Shigeharu', 'Episode Director, Storyboard'], ['Ozeki, Masayuki', 'Episode Director, Storyboard']]
